firmeza_predict,firmeza_real
144.93400000000003,151.95
141.63449999999997,133.3
144.6679999999999,142.25
137.99350000000004,136.45
152.99749999999997,160.5
141.42699999999996,152.45
148.3755,135.5
144.05149999999998,168.3
129.382,147.2
133.38049999999998,155.65
77.28250000000007,141.35
129.006,154.0
136.52549999999994,138.65
145.3675,149.85
152.84549999999987,121.8
141.0025,107.55
145.7150000000001,177.15
148.42250000000013,145.9
150.0095,152.1
138.43049999999994,143.9
150.73349999999996,160.05
147.48799999999997,179.35
67.46000000000002,181.4
145.72799999999995,130.5
61.78100000000001,167.3
140.245,144.65
144.88000000000005,168.9
127.78850000000006,150.35
145.22599999999986,156.3
135.2575,166.65
138.06650000000002,179.65
149.73650000000006,177.25
138.56500000000003,147.45
139.98950000000002,154.3
145.54199999999994,146.0
151.53699999999995,149.85
132.6895,147.8
144.39199999999994,135.55
147.34249999999992,178.55
133.438,129.7
142.78650000000005,146.15
138.84350000000003,151.35
149.02999999999994,132.2
142.6845,142.7
127.52500000000003,158.3
98.37900000000003,155.1
139.55749999999995,101.2
131.18499999999997,141.5
140.12049999999996,117.9
143.32349999999994,154.2
139.43349999999992,148.2
140.21799999999996,117.95
142.07750000000004,139.9
146.78550000000004,171.7
136.80850000000004,120.2
140.36350000000004,146.55
106.01100000000002,143.55
134.65850000000003,172.55
136.003,167.4
141.6654999999999,143.9
149.36550000000008,150.3
146.5389999999999,157.75
140.18949999999998,138.75
139.92300000000006,121.65
138.9505,98.0
114.58200000000001,145.25
139.15650000000002,160.2
154.0135000000001,138.25
148.6185,165.2
147.77150000000003,136.25
138.27349999999998,160.0
138.71500000000003,129.45
139.90800000000002,144.9
144.27750000000006,145.5
138.918,168.4
137.13849999999994,137.1
141.11649999999997,132.0
136.4625,127.15
138.3625,124.8
143.57850000000005,140.2
144.9454999999999,143.45
144.82,157.25
144.09400000000005,119.85
140.7240000000001,112.0
132.9285,144.95
144.52900000000002,104.65
146.37200000000004,148.75
144.065,122.2
137.4385,104.65
137.46199999999996,137.85
138.06600000000003,138.7
145.37850000000003,116.75
144.3555,146.75
137.1275,138.7
126.30849999999997,148.85
141.31000000000006,124.85
132.31049999999993,139.1
141.1964999999999,140.35
129.05200000000002,155.95
152.00799999999995,111.55
149.5920000000001,128.65
149.773,140.9
137.81700000000004,126.05
150.8554999999999,156.65
142.45700000000005,131.75
63.28050000000001,128.0
131.49700000000007,146.35
143.0505,168.3
126.514,125.95
136.90900000000002,130.6
142.02749999999997,128.55
151.98299999999998,134.35
140.2660000000001,164.95
143.39200000000002,139.45
133.52800000000002,101.95
142.79700000000008,138.2
137.67000000000004,150.85
129.98349999999996,132.6
145.40249999999997,140.45
146.1680000000001,161.25
144.9305,118.9
132.618,169.4
141.5205,149.7
134.58700000000007,135.4
144.14150000000006,156.65
132.83000000000013,126.85
136.08900000000008,161.8
130.62449999999993,155.65
141.84650000000005,130.65
136.18649999999994,132.0
